club,last_name,first_name,position,base_salary
ATL,Almiron,Miguel,M,1912500
ATL,Ambrose,Mikey,D,65625
ATL,Asad,Yamil,M,150000
ATL,Bloom,Mark,D,99225
ATL,Carleton,Andrew,F,65000
ATL,Carmona,Carlos,M,675000
ATL,Garza,Greg,D,150000
ATL,Gonzalez Pirez,Leandro,D,250008
ATL,Goslin,Chris,M,70000
ATL,Gressel,Julian,M,75000
ATL,Heath,Harrison,M,66150
ATL,Jones,Kenwyne,F,390000
ATL,Kann,Alec,GK,77004
ATL,Kratz,Kevin,M,150000
ATL,Larentowicz,Jeff,M,175008
ATL,Loyd,Zach,D,85008
ATL,Martinez,Josef,F,924000
ATL,McCann,Chris,M,540000
ATL,Mears,Tyrone,D,183756
ATL,Oblitey Otoo,Jeffrey,M-F,53000
ATL,Parkhurst,Michael,D,325008
ATL,Peterson,Jacob,F,165300
ATL,Reynish,Kyle,GK,65004
ATL,Robinson,Miles,D,125000.04
ATL,Rochez,Bryan,F,200000
ATL,Tambakis,Alexander,GK,65004
ATL,Vazquez,Brandon,F,100008
ATL,Villalba,Hector,F,663000
ATL,Walkes,Anton,D,53004
ATL,Wheeler-Omiunu,Andrew,M,53004
ATL,Williams,Romario,F,65000
CHI,Accam,David,F-M,750000
CHI,Alvarez,Arturo,M,135000
CHI,Arshakyan,David,F,156000
CHI,Bronico,Brandt,M,65004
CHI,Calistri,Joey,M,54075
CHI,Campbell,Jonathan,D,101750
CHI,Cleveland,Stefan,GK,53004
CHI,Conner,Drew,M,65625
CHI,De Leeuw,Michael,F,500000
CHI,Dekovic,Matej,D,65004
CHI,Doody,Patrick,D,65000
CHI,Fernandez,Collin,M,85000
CHI,Goossens,John,M,230000
CHI,Harrington,Michael,D,135000
CHI,Johnson,Daniel,M,65004
CHI,Juninho,,M,700008
CHI,Kappelhof,Johan,D,530000
CHI,Lampson,Matt,GK,76000
CHI,McCarty,Dax,M,400000
CHI,Meira,Joao,D-M,150000
CHI,Mihailovic,Djordje,M,80000.04
CHI,Nikolic,Nemanja,F,1700000.04
CHI,Polster,Matt,M,99900
CHI,Rodrigo Bava,Jorge,GK,240000
CHI,Schweinsteiger,Bastian,M,5400000
CHI,Solignac,Luis,F,274999.92
CHI,Vincent,Brandon,D,96250
CLB,Abu,Mohammed,M,165000
CLB,Abubakar,"Alhassan ""Lalas""",D,65000.04
CLB,Afful,Harrison,D,280000
CLB,Crognale,Alex,D,84996
CLB,De Lima Junior,Artur,M,80004
CLB,Duka,Dilly,M,175000
CLB,Finlay,Ethan,M,290000
CLB,Francis,Waylon,D,227500
CLB,Hansen,Nikolaj,F,65000.04
